phylum,intracellular.cupriavidus_like,intracellular.ralstonia_like,intracellular.bacillus_like,extracellular.general,extracellular.lemoignei_like,total
Pseudomonadota,3636,2199,0,354,134,6323
Actinomycetota,26,15,0,49,64,154
Myxococcota,3,1,0,0,10,14
Acidobacteriota,1,1,0,0,4,6
Bacillota,0,0,5,0,0,5
Chloroflexota,1,1,0,0,3,5
Bacteroidota,0,0,0,0,5,5
Gemmatimonadota,1,2,0,0,2,5
Bdellovibrionota,0,1,0,1,2,4
Desulfobacterota,0,0,0,0,4,4
Planctomycetota,0,0,0,0,3,3
Spirochaetota,0,1,0,0,2,3
Cyanobacteriota,0,0,0,0,1,1
